"phase_id","module_id","name_en","name_zh","name_es","subtitle_en","subtitle_zh","subtitle_es","description_en","description_zh","description_es","sort_order","prerequisite_phase_id","unlock_threshold_percent","unlock_mode","status"
"rec","clauses","Identify Relative Clauses","识别定语从句","Identificar cláusulas relativas","Can you spot the relative clause?","Can you spot the relative clause?","¿Puedes encontrar la cláusula relativa?","Find the relative clause in each sentence","Find the relative clause in each sentence","Encuentra la cláusula relativa en cada oración","1","","70","sequential","active"
"subj","clauses","People & Things as Subjects","指人+作主语","Personas y cosas como sujeto","Relative pronoun = subject","Relative pronoun = subject","Pronombre relativo = sujeto","who/that as the subject — followed directly by a verb","who/that as the subject — followed directly by a verb","who/that como sujeto — seguido por un verbo","2","rec","70","sequential","active"
"obj","clauses","People & Things as Objects","指人/物+作宾语","Personas y cosas como objeto","Relative pronoun = object","Relative pronoun = object","Pronombre relativo = objeto","The relative pronoun receives the action","The relative pronoun receives the action","El pronombre relativo recibe la acción","3","subj","70","sequential","active"
"subobj","clauses","Subject vs Object","区分：主语vs宾语","Sujeto vs Objeto","Find the extra subject","Find the extra subject","Encuentra el sujeto extra","If the clause already has a subject, the relative pronoun is the object","If the clause already has a subject, the relative pronoun is the object","Si la cláusula ya tiene sujeto, el pronombre es objeto","4","obj","70","sequential","active"
"oblq","clauses","where/when/why","where/when/why","where/when/why","Place · Time · Reason","Place · Time · Reason","Lugar · Tiempo · Razón","where = place, when = time, why = reason","where = place, when = time, why = reason","where = lugar, when = tiempo, why = razón","5","subobj","70","sequential","active"
"gen","clauses","Possessive whose","所有格 whose","Posesivo whose","'...'s'","'...'s'","'de quien'","whose = his/her/its/their — works for people AND things","whose = his/her/its/their — works for people AND things","whose = su/sus — para personas Y cosas","6","oblq","70","sequential","active"
"rest","clauses","Restrictive vs Non-restrictive","限制性vs非限制性","Restrictivas vs No restrictivas","Comma or no comma?","Comma or no comma?","¿Con coma o sin coma?","No comma = restrictive (essential). Comma = non-restrictive (extra info)","No comma = restrictive (essential). Comma = non-restrictive (extra info)","Sin coma = restrictiva. Con coma = no restrictiva","7","gen","70","sequential","active"
"prod","clauses","Mixed Practice","综合运用","Práctica mixta","Combine sentences","Combine sentences","Combinar oraciones","Merge two sentences using relative clauses","Merge two sentences using relative clauses","Une dos oraciones con cláusulas relativas","8","rest","70","sequential","active"
"prep_place","prepositions","In / On / At — Place","In / On / At — 空间介词","In / On / At — Lugar","In, On, At · Space","In, On, At · Space","In, On, At · Espacio","in = inside, on = surface, at = specific point","in = inside, on = surface, at = specific point","in = dentro, on = superficie, at = punto específico","1","","70","sequential","active"
"prep_time","prepositions","In / On / At — Time","In / On / At — 时间介词","In / On / At — Tiempo","In, On, At · Time","In, On, At · Time","In, On, At · Tiempo","at = specific time, on = day, in = longer period","at = specific time, on = day, in = longer period","at = hora, on = día, in = período largo","2","prep_place","70","sequential","active"
"prep_mixed","prepositions","Time + Space Mixed","时间 + 空间 混练","Tiempo + Espacio","Mixed practice","Mixed practice","Práctica mixta","Decide: is it place or time?","Decide: is it place or time?","Decide: ¿es lugar o tiempo?","3","prep_time","70","sequential","active"
"prep_prod","prepositions","Production Practice","生产性练习","Práctica de producción","Error correction","Error correction","Corrección de errores","Find and fix common preposition mistakes","Find and fix common preposition mistakes","Encuentra y corrige errores comunes","4","prep_mixed","70","sequential","active"
